时间,Milkey Tan(DOH),亚托莉(DOQ),亚托莉(DOT),亚托莉(DOH-d),亚托莉(DOH-api),MPO women's clothing(DOQ),MPO women's clothing(DOT),MPO women's clothing(DOH/3),OolongTea(DOH),龙猫 totoro625(DOH),winter(DOH),夏·祈·枫(DOQ),夏·祈·枫(DOT),夏·祈·枫(DOH-IP),夏·祈·枫(DOH),夏·祈·枫(DOH-CDN-1),夏·祈·枫(DOH-CDN-2),🐱(DOQ),🐱(DOT),🐱(DOH/3),MapleCool(UDP),WoadZS赞助加速(UDP),比拉乌拉赞助加速(UDP),张 果果(DOH/3),张 果果(DOQ),张 果果(DOT)
2024-07-06 02:26:37,27,55,53,2000,162,156,162,167,176,178,230,219,244,340,365,538,596,1051,1057,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:27:12,30,2000,52,54,100,127,198,192,191,247,229,222,244,280,288,554,596,1056,1065,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:27:47,23,144,51,56,2000,244,265,115,232,178,194,248,256,154,291,578,629,1067,1052,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:28:22,45,67,63,2000,120,124,115,195,157,160,193,200,199,286,643,977,1075,1223,1320,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:28:57,32,60,58,2000,292,187,316,316,288,351,290,292,393,360,266,692,1000,1068,1104,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:29:23,25,54,57,109,2000,169,233,199,243,283,234,240,280,286,320,572,646,1083,1098,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:29:58,2000,107,30,54,57,178,234,124,194,244,192,166,264,181,156,634,595,1101,1104,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:30:34,36,58,2000,59,155,136,162,177,172,211,201,230,185,234,240,532,623,1038,1078,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:33:23,47,50,2000,68,154,184,179,160,201,177,170,198,162,159,254,556,603,1085,2000,1185,2000,2000,2000,2000,2000,2000
2024-07-06 02:33:58,30,63,2000,68,270,255,247,290,266,296,313,315,267,367,363,589,617,1074,1093,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:36:47,55,110,50,63,2000,183,295,301,244,230,291,294,316,350,358,599,645,1079,1119,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:37:10,32,57,2000,64,198,205,174,166,236,216,209,206,222,248,256,567,592,1075,1082,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:37:47,25,51,2000,54,125,155,161,167,190,166,168,185,198,232,219,522,638,1058,1080,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:40:04,34,78,294,151,352,2000,345,326,252,421,481,481,427,521,443,713,781,1271,1278,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:40:41,34,54,53,2000,141,129,169,169,198,217,205,227,257,265,258,562,627,1064,1091,2000,2000,2000,2000,2000,2000,2000
